V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,survey_description,institution,institution_info-Institution Name,institution_info-URL,title,post_url,post_date,category,event_info,CHER Event Information,event_start,event_end,location,Funding Opportunities,apply_date,dead_date,dead_url,award_amt,CHER News Information,CHER Publication Information,final_txt,img_url,LocationLatitude,LocationLongitude,LocationAccuracy,
R_b3ftcbaa4zHG0zb,Default Response Set,Anonymous,,,,4,2017-04-20 02:00:00,2017-04-20 02:00:00,1,,UNC Center for Genomics & Society,,,"CGS Seminar: Genomics, Precision Medicine, and Population Health Benefit",https://cher.unc.edu/event/2017-spring-seminar-genomics-precision-medicine-population-health-benefit-addressing-bias-discovery-translation/,01/26/17,CHER Event,,,05/11/17,05/11/17,Location: TBA,,,,,,,,"Please save the date for our 2017 Spring Seminar, co-sponsored by Center for Health Equity Research (CHER), Center for Genomics and Society (CGS) and Center for Bioethics. Dr. Malia Fullerton will be presenting ""Genomics, Precision Medicine, and Population Health Benefit: Addressing Bias in Discovery and Translation"".",https://cher.unc.edu/files/2017/01/Malia-Fullerton.jpg,,,-1,
R_1GtDEyABmGUDahT,Default Response Set,Anonymous,,,,4,2017-04-20 02:00:00,2017-04-20 02:00:00,1,,Academy Health,,,March for Science,https://www.marchforscience.com/,03/27/17,External Event,,,04/22/17,04/22/17,"Location: Washington, DC and 425+ satelite marches around the world.",,,,,,,,"The March for Science demonstrates our passion for science and sounds a call to support and safeguard the scientific community. Recent policy changes have caused heightened worry among scientists. The incredible and immediate outpouring of support has made clear that these concerns are also shared by the support of hundreds of thousands of people around the world. /  / Consult <a href=""https://www.marchforscience.com/satellite-marches/"">this site</a> to find a march near you.",https://pbs.twimg.com/profile_images/828105407264542720/lHcwDgk__400x400.jpg,,,-1,
R_0VcEtddBeo0RWpT,Default Response Set,Anonymous,,,,4,2017-04-20 02:00:00,2017-04-20 02:00:00,1,,Community Expert Solutions,,,HBCU Grads join Community Expert Solutions,https://www.communityexpertsolutions.com/,04/17/17,External Event,,,04/22/17,04/22/17,UNC Chapel Hill,,,,,,,,Alexandria Anderson and Marcus Hawley have recently joined Community Expert Solutions. Alexandria earned her BA/BA from North Carolina Central University. Marcus Hawley earned his BA from Hampton University.,https://static1.squarespace.com/static/58e550899de4bb97ac64cf9e/t/58ed7ac720099eb7fb9866df/1491958477542/?format=1000w,,,-1,
R_bpzRbFbdWvXj49f,Default Response Set,Anonymous,,,,4,2017-04-20 02:00:00,2017-04-20 02:00:00,1,,Health Affairs,,,Health Affairs Request for Abstracts on Health Equity,http://www.healthaffairs.org/future_theme_issues/2017_03_09_health_equity.php,04/17/17,External Event,,,04/24/17,04/24/17,Online,,,,,,,,"Health Affairs plans to continue its coverage of health equity with a theme issue in March 2018 that will present research that contributes to our understanding of factors that lead to health disparities and interventions that aim to reduce them. We are interested in examples of interventions from both inside and outside the health services sector, including partnerships, community-led efforts, and cross-sector collaborations. /  / We plan to publish about 20 peer-reviewed articles including original research, systematic reviews, well-designed case studies, analyses, and commentaries from leading researchers and scholars, analysts, industry experts, and policy and practice leaders. We also welcome contributions from individuals who can provide important perspectives on the topic. /  / We will consider research and reports on interventions of varying scales (from small to large) and origins??public and private; community, state/regional, and national levels; innovations in other countries, etc. We will place an emphasis on well-designed studies that cont",http://www.healthaffairs.org/uploads/2017_04_03/cover.jpg,,,-1,
R_8kK8h0TTHYITcax,Default Response Set,Anonymous,,,,4,2017-04-20 02:00:00,2017-04-20 02:00:00,1,,UNC Graduate School,,,Creatively Engaged Conversations - Methods of Communicating Your Research to Different Audiences,http://gradprofdev.web.unc.edu/event/creatively-engaged-conversations-methods-of-communicating-your-research-to-different-audiences/,04/17/17,External Event,,,04/24/17,04/24/17,Wilson Library Room 504,,,,,,,,"Are you interested in bringing your graduate research to diverse audiences, including lay communities? Do you want ways of engaging people with your research other than through scholarly writing and publishing? Do you want to be a public intellectual? Are you interested in podcasting, building a website or hosting a TED talk to promote your research and ideas?This graduate student led workshop will provide an opportunity for graduate students to share with other students how they engage audiences, beyond academic circles, with their research. This workshop will have a graduate student panel discussion, followed by a lunch-and-learn session with representatives from campus resources to help with research communication. During the lunch session, students can speak to representatives about various research communication techniques, including social media, to promote graduate student research to diverse audiences. Lunch provided. Visit website to register.",http://gradprofdev.web.unc.edu/files/2011/10/UNC_GRADBLACK2751.jpg,,,-1,
R_bxVUUrdC6GGJIGN,Default Response Set,Anonymous,,,,4,2017-04-20 02:00:00,2017-04-20 02:00:00,1,,National Institute on Minority Health and Health Disparities,,,Minority Health Month Twitter Chat: #HealthEquityChat,https://twitter.com/nimhd,04/19/17,External Event,,,04/25/17,04/25/17,Twitter,,,,,,,,"Join NIHMD, HHS, and the FDA for a Twitter chat to discuss the impact of social and environment determinants of health.",https://pbs.twimg.com/profile_images/550273469141614593/I9ErNK2x_400x400.jpeg,,,-1,
R_8hQ3NuXqsAi14Zn,Default Response Set,Anonymous,,,,4,2017-04-20 02:00:00,2017-04-20 02:00:00,1,,UT Health Science Center at San Antonio,,,4th Annual Cultural Inclusion Institute Conference Theme: Linking Social Determinants of Health to Health Disparities and Cultural Inclusion,https://ce.uthscsa.edu/browse/nursing/courses/4th-cultural-inclusion-conference,02/01/17,External Event,,,04/26/17,04/27/17,"San Antonio, Texas",,,,,,,,"Who Should Attend? Primary Care Providers, Nurses, Social Workers, Dentists, Educators, Researchers, Non-Profit Community Based Agencies, and Students.",,,,-1,
R_86rbVnN2RBK9jFj,Default Response Set,Anonymous,,,,4,2017-04-20 02:00:00,2017-04-20 02:00:00,1,,Network of Minority Health Research Investigators (NMRI),,,Network of Minority Health Research Investigators (NMRI) 15th Annual Workshop: Registration is now open,https://www.niddk.nih.gov/news/events-calendar/Pages/nmri-15th-annual-workshop-04-2017.aspx,01/27/17,External Event,,,04/26/17,04/28/17,"Double Tree Hotel Bethesda, 8120 Wisconsin Avenue, Bethesda, MD 20814",,,,,,,,"More than 300 researchers have participated in NMRI workshops in the past decade, and approximately 100 are active members. The success of the NMRI, a network that is ""owned"" by its members and supported by the NIDDK, begins with the dedication of senior investigators who mentor and serve as role models for junior investigators. To participate, register before March 24, 2017. Check the <a href=""https://www.niddk.nih.gov/news/events-calendar/Pages/nmri-15th-annual-workshop-04-2017.aspx#tab-event-details"" target=""_blank"">event website</a> for detailed information.",https://www.niddk.nih.gov/news/events-calendar/PublishingImages/NMRI15thAnnual_meetingbanner.png,,,-1,
R_7V6rY4xhOolm9Mx,Default Response Set,Anonymous,,,,4,2017-04-20 02:00:00,2017-04-20 02:00:00,1,,Southeastern Health Equity Council,,,Human Trafficking and Criminal Behavior Across Minority Populations,https://events-na11.adobeconnect.com/content/connect/c1/1312818331/en/events/event/private/1313011123/1577292540/event_landing.html?sco-id=1614057097&_charset_=utf-8,03/28/17,External Event,,,04/27/17,04/27/17,Online,,,,,,,,"To follow up with the release of the Cultural Competency Resource Guide, the SHEC will host four webinars in various regions of the country.  The webinars will include speakers from organizations that focus on cultural competency.",http://new.dhh.louisiana.gov/assets/docs/GovCouncil/GovGames/images/NPA2_Logo.jpg,,,-1,
